,Fermi.name,Spectral.Index,Radio.flux.mJy.,flux_density,curve_significance,flux_100_300_mev,flux_0p3_1_gev,flux_10_100_gev,variability_index,Optical.Class
45,3FGL J0056.3-0935,1.7902,200.8635,3.4815E-14,0.925,4.4651E-11,8.5086E-10,9.35299E-11,55.523884, bll 
46,3FGL J0056.3-2116,1.808,90.3052,7.8168E-14,1.653,7.52868E-10,8.04372E-10,7.57617E-11,60.01334, bll 
47,3FGL J0058.0-3233,2.0583,186.4143,8.5767E-13,2.649,7.66698E-09,2.92317E-09,6.84623E-11,63.991211, bll 
48,3FGL J0058.3+3315,2.4073,160.6733,1.158E-12,1.322,1.00375E-08,1.7866E-09,3.02307E-12,112.817299, fsrq 
49,3FGL J0059.2-0152,1.7376,18.1395,8.4357E-15,0.723,1.66429E-09,7.3715E-10,4.10876E-11,37.218609, bll 
50,3FGL J0059.6+0003,2.484,2509.4783,6.4663E-13,1.753,4.99736E-09,1.26672E-09,2.18237E-12,52.172028, fsrq 
51,3FGL J0100.2+0745,1.7966,98.8814,2.211E-13,3.475,2.66539E-09,1.9951E-09,1.87374E-10,91.494522, bll 
52,3FGL J0102.3+4217,2.6917,43.2222,9.8151E-12,2.207,2.16697E-08,3.625E-09,8.29078E-15,101.963287, fsrq 
53,3FGL J0105.1-2415,2.6084,234.6631,7.2993E-12,2.362,1.70667E-08,3.53791E-09,7.34602E-12,91.457062, fsrq 
54,3FGL J0105.3+3928,2.3259,91.5759,5.9057E-13,1.349,9.85837E-09,1.75864E-09,6.69464E-12,65.603035, bll 
55,3FGL J0108.5-0035,2.3937,932.8395,3.3688E-13,2.063,3.54802E-09,1.1628E-09,1.32329E-15,43.276764, fsrq 
56,3FGL J0108.7+0134,2.2601,2621.3425,9.7526E-11,4.604,9.58851E-08,2.53317E-08,8.55727E-11,575.570984, fsrq 
57,3FGL J0109.1+1816,2.0398,90.8724,1.0403E-13,0.565,3.86662E-09,1.00681E-09,6.25206E-11,40.72995, bll 
58,3FGL J0109.9-4020,1.7274,96,1.3125E-14,0.136,6.6782E-11,1.14694E-12,3.22569E-11,39.906624, bll 
59,3FGL J0110.9-1254,1.9252,17.4963,2.5926E-14,0.406,2.44448E-10,5.81967E-10,3.61391E-11,32.23093, bll 
60,3FGL J0111.5+0535,1.9169,16.6643,1.8197E-14,0.783,1.6535E-11,3.06213E-10,2.33913E-11,46.603031, bll 
61,3FGL J0112.1+2245,1.9073,385.8865,2.4576E-11,4.551,4.66186E-08,2.07239E-08,4.64836E-10,489.068695, bll 
62,3FGL J0112.8+3207,2.3626,684.8049,1.7463E-11,2.06,5.43442E-08,1.32091E-08,8.634E-11,955.464844, fsrq 
63,3FGL J0113.4+4948,2.2991,667.4039,8.566E-13,1.022,1.46617E-08,3.50571E-09,5.00745E-11,47.596355, fsrq 
64,3FGL J0114.8+1326,2.0773,64.0045,6.6189E-13,0.166,9.02655E-09,4.19447E-09,1.21062E-10,101.137375, bll 
65,3FGL J0115.7+0356,2.1181,99.5494,7.5616E-13,1.08,9.65486E-09,4.10865E-09,7.18683E-11,55.207146, bll 
66,3FGL J0115.8+2519,1.9869,38.2683,2.5048E-13,1.703,1.20806E-08,2.27183E-09,1.29407E-10,67.533783, bll 
67,3FGL J0116.0-1134,2.3439,1785.387,3.6212E-12,2.319,1.59763E-08,5.73704E-09,2.17476E-11,478.210602, fsrq 
68,3FGL J0116.3-6153,1.9621,26.9,5.8302E-14,0.952,3.02458E-09,1.1265E-09,6.70867E-11,52.752613, bll 
69,3FGL J0118.8-2142,2.348,447.8999,3.0252E-12,5.754,4.2064E-08,1.09876E-08,5.05341E-11,294.542328, fsrq 
70,3FGL J0118.9-1457,1.7863,5.5,1.9466E-14,0.902,4.28039E-12,5.90659E-10,5.40627E-11,39.272175, bll 
71,3FGL J0120.4-2700,1.9141,934.7742,1.5284E-12,2.556,1.8911E-08,7.41285E-09,3.65951E-10,73.296722, bll 
72,3FGL J0122.8+3423,1.4847,45.7066,5.3866E-15,0.355,1.10066E-09,2.5237E-10,9.39082E-11,39.278545, bll 
73,3FGL J0123.7-2312,1.9883,27.6361,1.1284E-13,1.26,7.98083E-09,7.82035E-10,4.95614E-11,51.724106, bll 
74,3FGL J0125.2-0627,2.2079,41.6081,2.5964E-13,2.944,1.60864E-11,1.74345E-09,8.53716E-12,59.227139, bll 
75,3FGL J0125.4-2548,2.1296,166.1506,1.9988E-13,1.878,5.24137E-09,8.81569E-10,1.68788E-11,78.265839, bll 
76,3FGL J0126.1-2227,2.4303,611.9944,1.2504E-12,2.019,6.29842E-09,2.94404E-09,1.30676E-11,109.063026, fsrq 
77,3FGL J0127.1-0818,2.2123,112.6177,5.1819E-13,2.093,8.29112E-09,1.98801E-09,2.90833E-11,50.542175, bll 
78,3FGL J0127.9+2551,3.0998,1003.1298,3.2982E-11,1.526,1.94479E-08,2.87302E-09,3.01667E-16,52.445419, fsrq 
79,3FGL J0128.5+4430,2.332,36.9443,6.0007E-13,1.194,9.00304E-09,2.24547E-09,7.1245E-12,89.324615, fsrq 
80,3FGL J0130.8+1441,2.6505,775.5174,1.9353E-12,2.238,6.13008E-09,1.91647E-09,1.30648E-11,45.449059, fsrq 
81,3FGL J0132.6-1655,2.4301,830.7576,1.5098E-11,2.669,3.67813E-08,9.43044E-09,5.2166E-11,240.334412, fsrq 
82,3FGL J0133.0-4413,2.1562,82.3,1.9404E-13,0.53,3.02351E-09,1.08807E-09,2.03266E-11,48.685257, bll 
83,3FGL J0134.3-3842,2.3312,569.6524,3.7092E-13,0.471,5.70418E-09,9.47497E-10,6.8369E-12,61.165165, fsrq 
84,3FGL J0136.5+3905,1.6956,60.6358,7.2671E-13,2.071,1.85301E-08,5.56026E-09,9.32078E-10,62.301376, bll 
85,3FGL J0137.0+4752,2.1465,1138.0917,3.0187E-11,5.265,5.9907E-08,1.85128E-08,1.15587E-10,857.033569, fsrq 
86,3FGL J0137.6-2430,2.5176,1181.9996,8.985E-12,2.692,2.3712E-08,5.89725E-09,1.52173E-11,169.880493, fsrq 
87,3FGL J0141.4-0929,2.1229,657.4735,2.4689E-12,1.57,1.4997E-08,6.58455E-09,1.03422E-10,98.48233, bll 
88,3FGL J0143.7-5845,1.8384,28.3,1.469E-13,0.187,3.781E-09,1.61447E-09,1.73851E-10,70.20916, bll 
89,3FGL J0144.6+2705,2.0632,217.1599,2.0485E-11,3.183,4.22983E-08,1.37556E-08,1.89247E-10,170.70018, bll 
90,3FGL J0145.1-2732,2.5696,923.3085,1.9933E-11,3.058,3.80732E-08,8.38301E-09,9.56539E-12,313.434814, fsrq 
